"","Name","OncoTree1","OncoTree2","Age","PrimaryOrMetastasis","SampleCollectionSite","Sex","Top_Sensitive_Drugs","Bottom_Resistant_Drugs","nb_drugs"
"923","SNU-283","Bowel",NA,62,"Metastatic","abdomen","Female",NA,NA,NA
"924","SNU-308","Biliary_Tract",NA,NA,"Primary","biliary tract","Unknown","leptomycin B ; ouabain ; CR-1-31B ; panobinostat (FDA) ; brefeldin A ; SR-II-138A ; bardoxolone methyl ; narciclasine ; austocystin D ; SNX-2112","lenvatinib ; BIRB-796 ; UNC0321 ; azacitidine (FDA) ; niclosamide ; IC-87114 ; pazopanib (FDA) ; BRD-K86535717 ; quizartinib (CTR) ; nelarabine (FDA)","400"
"925","SNU-324","Pancreas",NA,50,"Primary","pancreas","Male",NA,NA,NA
"926","SNU-349","Kidney","Renal Cell Carcinoma (RCC)",68,"Primary","kidney","Male",NA,NA,NA
"927","SNU-387","Liver","Hepatocellular Carcinoma (HCC)",41,"Primary","liver","Female","panobinostat (FDA) ; dinaciclib ; leptomycin B ; dasatinib (FDA) ; SNX-2112 ; cucurbitacin I ; SB-743921 ; AZD7762 (CTR) ; trametinib (FDA) ; pluripotin","daporinad ; pifithrin-mu ; SU11274 ; BRD8958 ; ML320 ; dexamethasone ; NSC 74859 ; BRD-K28456706 ; AZD7545 ; SB-525334","412"
"928","SNU-398","Liver","Hepatocellular Carcinoma (HCC)",42,"Primary","liver","Male","ceranib-2 ; tosedostat ; lenvatinib ; PHA-793887 ; PD318088 ; niclosamide ; leptomycin B ; oligomycin A ; SB-743921 ; vincristine (FDA)","abiraterone (FDA) ; erlotinib (FDA) ; PLX-4720 ; BRD-K09344309 ; ciclosporin ; CHIR-99021 ; tivozanib (CTR) ; BRD-K33199242 ; EX-527 ; hyperforin","376"
"929","SNU-407","Bowel",NA,37,"Metastatic","soft tissue","Male","leptomycin B ; SB-743921 ; oligomycin A ; austocystin D ; CR-1-31B ; BI-2536 (CTR) ; panobinostat (FDA) ; vincristine (FDA) ; SR-II-138A ; omacetaxine mepesuccinate (FDA)","parthenolide ; nelarabine (FDA) ; abiraterone (FDA) ; isonicotinohydroxamic acid ; myricetin ; BRD-M00053801 ; temozolomide ; A-804598 ; Ki8751 ; ML334 diastereomer","406"
"930","SNU-410","Pancreas",NA,53,"Metastatic","liver","Male","NVP-231 ; ouabain ; panobinostat (FDA) ; cucurbitacin I ; doxorubicin (FDA) ; bosutinib (FDA) ; ML210 ; leptomycin B ; BRD-K45681478 ; 1S-3R-RSL-3","nelarabine (FDA) ; CAY10618 ; daporinad ; CHM-1 ; saracatinib (CTR) ; EX-527 ; FQI-2 ; ELCPK ; pandacostat ; ML203","376"
"931","SNU-423","Liver","Hepatocellular Carcinoma (HCC)",40,"Primary","liver","Male","leptomycin B ; dinaciclib ; panobinostat (FDA) ; paclitaxel (FDA) ; CR-1-31B ; 1S-3R-RSL-3 ; AZD8055 (CTR) ; docetaxel (FDA) ; SB-743921 ; KX2-391","BRD8958 ; procarbazine (FDA) ; brivanib ; GSK4112 ; AZ-3146 ; GDC-0879 ; KU-60019 ; NPC-26 ; GANT-61 ; pitstop2","411"
"932","SNU-449","Liver","Hepatocellular Carcinoma (HCC)",52,"Primary","liver","Male","ouabain ; methotrexate (FDA) ; leptomycin B ; cucurbitacin I ; panobinostat (FDA) ; AZD8055 (CTR) ; 1S-3R-RSL-3 ; daporinad ; ML162 ; dasatinib (FDA)","BRD8958 ; BRD-K55116708 ; XL765 ; NSC 74859 ; SR1001 ; UNC0321 ; BRD-K28456706 ; BRD-A05715709 ; decitabine (FDA) ; L-685458","418"
"933","SNU-46","Head_Neck",NA,65,"","upper aerodigestive tract","Male","leptomycin B ; panobinostat (FDA) ; CR-1-31B ; oligomycin A ; pluripotin ; brefeldin A ; BI-2536 (CTR) ; 1S-3R-RSL-3 ; SR-II-138A ; dasatinib (FDA)","BRD9876 ; BRD-K34099515 ; CI-976 ; BRD-K64610608 ; nilotinib (FDA) ; BRD-K92856060 ; JW-480 ; cyclophosphamide (FDA) ; AZ-3146 ; zebularine","395"
"934","SNU-466","Brain_CNS","Diffuse Glioma (DIFG)",61,"Primary","central nervous system","Male","leptomycin B ; brefeldin A ; CR-1-31B ; ABT-737 ; panobinostat (FDA) ; ouabain ; SR-II-138A ; 1S-3R-RSL-3 ; doxorubicin (FDA) ; SNX-2112","procarbazine (FDA) ; AZ-3146 ; SU11274 ; ML203 ; GSK4112 ; GW-843682X ; BRD-K14844214 ; BRD9876 ; DNMDP ; azacitidine (FDA)","368"
"935","SNU-475","Liver","Hepatocellular Carcinoma (HCC)",43,"Primary","liver","Male","dinaciclib ; omacetaxine mepesuccinate (FDA) ; alvocidib (CTR) ; RITA ; BI-2536 (CTR) ; narciclasine ; paclitaxel (FDA) ; panobinostat (FDA) ; dasatinib (FDA) ; leptomycin B","nilotinib (FDA) ; NPC-26 ; betulinic acid ; pevonedistat (CTR) ; vorinostat (FDA) ; Mdivi-1 ; TPCA-1 ; BRD1378 ; barasertib ; elocalcitol","380"
"936","SNU-478","Biliary_Tract",NA,NA,"Primary","biliary tract","Unknown","leptomycin B ; neopeltolide ; SB-743921 ; oligomycin A ; panobinostat (FDA) ; vincristine (FDA) ; BI-2536 (CTR) ; CR-1-31B ; GSK461364 ; dasatinib (FDA)","EX-527 ; nelarabine (FDA) ; vemurafenib (FDA) ; BRD-K92856060 ; temozolomide ; BRD-K24690302 ; BEC ; BRD-K49290616 ; nilotinib (FDA) ; BRD9876","390"
"937","SNU-489","Brain_CNS","Diffuse Glioma (DIFG)",54,"Primary","central nervous system","Male","panobinostat (FDA) ; YM-155 (CTR) ; paclitaxel (FDA) ; 1S-3R-RSL-3 ; doxorubicin (FDA) ; bardoxolone methyl ; ML162 ; vincristine (FDA) ; AZD7762 (CTR) ; SNS-032","dexamethasone ; BRD-K51490254 ; CID-5951923 ; ML029 ; PRL-3 inhibitor I ; BRD-K85133207 ; BRD-K11533227 ; BRD-K80183349 ; NPC-26 ; birinapant","382"
"938","SNU-5","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC)",33,"Metastatic","ascites","Female","foretinib (CTR) ; SB-743921 ; crizotinib (FDA) ; cabozantinib (FDA) ; ouabain ; GSK461364 ; rigosertib ; CR-1-31B ; panobinostat (FDA) ; BRD-K11533227","BRD9876 ; QS-11 ; procarbazine (FDA) ; BRD-K34099515 ; BRD-K24690302 ; tamoxifen (FDA) ; ML203 ; BRD-K64610608 ; bendamustine (FDA) ; myriocin","370"
"939","SNU-503","Bowel",NA,52,"Metastatic","abdomen","Male","panobinostat (FDA) ; leptomycin B ; SB-743921 ; dinaciclib ; BI-2536 (CTR) ; GSK461364 ; vemurafenib (FDA) ; CR-1-31B ; trametinib (FDA) ; obatoclax (CTR)","ML320 ; BRD1835 ; NSC 74859 ; pifithrin-mu ; SB-525334 ; BRD8958 ; dexamethasone ; IC-87114 ; SRT-1720 ; BRD-K88742110","407"
"940","SNU-520","Esophagus_Stomach",NA,60,"Primary","stomach","Female",NA,NA,NA
"941","SNU-601","Esophagus_Stomach",NA,34,"Metastatic","ascites","Male","leptomycin B ; docetaxel (FDA) ; panobinostat (FDA) ; SB-743921 ; methotrexate (FDA) ; paclitaxel (FDA) ; AZD7762 (CTR) ; CR-1-31B ; gemcitabine (FDA) ; brefeldin A","indisulam ; ML320 ; procarbazine (FDA) ; barasertib ; SJ-172550 ; bexarotene ; SR1001 ; BRD-K13999467 ; CID-5951923 ; decitabine (FDA)","421"
"942","SNU-61","Bowel",NA,48,"Metastatic","liver","Male","leptomycin B ; SB-743921 ; 1S-3R-RSL-3 ; vincristine (FDA) ; omacetaxine mepesuccinate (FDA) ; paclitaxel (FDA) ; panobinostat (FDA) ; ouabain ; BI-2536 (CTR) ; oligomycin A","VAF-347 ; EX-527 ; vemurafenib (FDA) ; BRD-K64610608 ; BRD-K11533227 ; isonicotinohydroxamic acid ; BRD-K37390332 ; BRD-K66532283 ; temozolomide ; erismodegib","398"
"943","SNU-620","Esophagus_Stomach",NA,59,"Metastatic","ascites","Female","paclitaxel (FDA) ; foretinib (CTR) ; SB-743921 ; panobinostat (FDA) ; CR-1-31B ; leptomycin B ; SR-II-138A ; ouabain ; selumetinib (FDA) ; crizotinib (FDA)","SB-225002 ; silmitasertib ; BRD-K34099515 ; BRD-K64610608 ; EX-527 ; L-685458 ; BRD-K86535717 ; CAY10576 ; lomeguatrib ; Compound 7d-cis","399"
"944","SNU-626","Brain_CNS","Diffuse Glioma (DIFG)",65,"Primary","central nervous system","Male","leptomycin B ; birinapant ; panobinostat (FDA) ; topotecan (FDA) ; CR-1-31B ; ML162 ; gemcitabine (FDA) ; 1S-3R-RSL-3 ; doxorubicin (FDA) ; MLN2238","sitagliptin ; PLX-4720 ; BRD5468 ; BRD-K11533227 ; LY-2183240 ; CID-5951923 ; betulinic acid ; procarbazine (FDA) ; imatinib (FDA) ; tigecycline","374"
"945","SNU-668","Esophagus_Stomach","Esophagogastric Adenocarcinoma (EGC)",63,"Metastatic","ascites","Male","leptomycin B ; CR-1-31B ; methotrexate (FDA) ; doxorubicin (FDA) ; panobinostat (FDA) ; SR-II-138A ; ouabain ; narciclasine ; AZD7762 (CTR) ; brefeldin A","bexarotene ; Ki8751 ; CI-976 ; BRD8958 ; BRD9876 ; OSI-930 ; BRD-K64610608 ; darinaparsin ; GSK525762A ; ML320","397"
"946","SNU-685","Uterus","Endometrial carcinoma",70,"Primary","endometrium","Female","leptomycin B ; 1S-3R-RSL-3 ; BI-2536 (CTR) ; GSK461364 ; ouabain ; panobinostat (FDA) ; ML162 ; daporinad ; topotecan (FDA) ; obatoclax (CTR)","dexamethasone ; BRD8958 ; AM-580 ; betulinic acid ; pitstop2 ; GW-843682X ; procarbazine (FDA) ; isonicotinohydroxamic acid ; BRD-A02303741 ; ETP-46464","418"
"947","SNU-719","Esophagus_Stomach",NA,53,"Primary","stomach","Male","leptomycin B ; brefeldin A ; SR-II-138A ; CR-1-31B ; ouabain ; panobinostat (FDA) ; PD318088 ; narciclasine ; linifanib ; SCH-79797","ML203 ; dexamethasone ; BRD-K37390332 ; BRD-K45681478 ; AGK-2 ; BRD-K34485477 ; bexarotene ; staurosporine ; BRD-K44224150 ; CIL70","405"
"948","SNU-738","Brain_CNS","Diffuse Glioma (DIFG)",40,"Primary","central nervous system","Male","leptomycin B ; CAY10618 ; panobinostat (FDA) ; paclitaxel (FDA) ; YM-155 (CTR) ; STF-31 ; SB-743921 ; AZD7762 (CTR) ; methotrexate (FDA) ; CR-1-31B","PRL-3 inhibitor I ; imatinib (FDA) ; CHIR-99021 ; BRD-K09587429 ; nilotinib (FDA) ; BRD-K02492147 ; birinapant ; sitagliptin ; ML083 ; BRD5468","370"
"949","SNU-761","Liver","Hepatocellular Carcinoma (HCC)",49,"Primary","liver","Male","ouabain ; obatoclax (CTR) ; bardoxolone methyl ; selumetinib (FDA) ; BRD-K63431240 ; panobinostat (FDA) ; canertinib ; leptomycin B ; doxorubicin (FDA) ; dasatinib (FDA)","BRD-K09344309 ; GDC-0879 ; ML334 diastereomer ; zebularine ; L-685458 ; semagacestat ; AT-406 ; BRD-K64610608 ; EX-527 ; nelarabine (FDA)","367"
"950","SNU-8","Ovary","Ovarian Epithelial Tumor (OVT)",55,"Metastatic","ascites","Female","leptomycin B ; 1S-3R-RSL-3 ; brefeldin A ; ML210 ; CR-1-31B ; ML162 ; SB-743921 ; paclitaxel (FDA) ; panobinostat (FDA) ; ouabain","purmorphamine ; BRD-K19103580 ; SKI-II ; BRD-K02492147 ; CID-5951923 ; MI-1 ; PYR-41 ; cimetidine ; BMS-270394 ; UNC0321","406"
"951","SNU-81","Bowel",NA,53,"Primary","Colon","Male","leptomycin B ; austocystin D ; vincristine (FDA) ; paclitaxel (FDA) ; SB-743921 ; cucurbitacin I ; YM-155 (CTR) ; selumetinib (FDA) ; ZSTK474 (CTR) ; SR-II-138A","BRD-K61166597 ; BRD-K71781559 ; ifosfamide (FDA) ; BRD-K66532283 ; daporinad ; BRD-K33199242 ; GMX-1778 ; BRD8899 ; BRD-K80183349 ; ML203","185"
"952","SNU-840","Ovary","Ovarian Epithelial Tumor (OVT)",45,"Primary","ovary","Female","leptomycin B ; panobinostat (FDA) ; afatinib (FDA) ; methotrexate (FDA) ; AZD8055 (CTR) ; temsirolimus (FDA) ; sirolimus (FDA) ; canertinib ; narciclasine ; dasatinib (FDA)","elocalcitol ; nelarabine (FDA) ; myricetin ; ML203 ; pevonedistat (CTR) ; birinapant ; BRD-K51490254 ; isonicotinohydroxamic acid ; BRD9876 ; abiraterone (FDA)","409"
"953","SNU-869","Biliary_Tract",NA,NA,"Primary","biliary tract","Unknown","panobinostat (FDA) ; leptomycin B ; CR-1-31B ; SR-II-138A ; SNS-032 ; dinaciclib ; SB-743921 ; paclitaxel (FDA) ; 1S-3R-RSL-3 ; RITA","betulinic acid ; BRD1835 ; procarbazine (FDA) ; A-804598 ; dabrafenib (FDA) ; pifithrin-mu ; FQI-2 ; AGK-2 ; IC-87114 ; BRD8899","417"
"954","SNU-878","Liver","Hepatocellular Carcinoma (HCC)",54,"Primary","liver","Female","SB-743921 ; GSK461364 ; CR-1-31B ; AZD8055 (CTR) ; brefeldin A ; paclitaxel (FDA) ; narciclasine ; panobinostat (FDA) ; BI-2536 (CTR) ; RITA","PLX-4720 ; BRD-K27986637 ; BRD-K02492147 ; sitagliptin ; BRD8899 ; cyclophosphamide (FDA) ; 16-beta-bromoandrosterone ; tigecycline ; BRD-K09587429 ; BRD-K96431673","351"
"955","SNU-886","Liver","Hepatocellular Carcinoma (HCC)",57,"Primary","liver","Male","leptomycin B ; navitoclax (CTR) ; SB-743921 ; oligomycin A ; pluripotin ; narciclasine ; lovastatin ; paclitaxel (FDA) ; brefeldin A ; 1S-3R-RSL-3","pitstop2 ; KH-CB19 ; I-BET151 ; necrosulfonamide ; BRD-K92856060 ; GW-843682X ; fluorouracil (FDA) ; BRD-K24690302 ; bexarotene ; BIX-01294","316"
"956","SNU-899","Head_Neck",NA,56,"Primary","upper aerodigestive tract","Male","leptomycin B ; panobinostat (FDA) ; CR-1-31B ; narciclasine ; SR-II-138A ; SNS-032 ; doxorubicin (FDA) ; methotrexate (FDA) ; obatoclax (CTR) ; pluripotin","darinaparsin ; Ki8751 ; ML320 ; CID-5951923 ; BRD-A02303741 ; AZ-3146 ; dexamethasone ; FSC231 ; cimetidine ; PRL-3 inhibitor I","400"
"957","SNU-C1","Bowel","Colorectal Adenocarcinoma (COADREAD)",71,"Metastatic","abdomen","Male","dinaciclib ; panobinostat (FDA) ; CR-1-31B ; oligomycin A ; leptomycin B ; trametinib (FDA) ; SR-II-138A ; omacetaxine mepesuccinate (FDA) ; SNS-032 ; ouabain","SJ-172550 ; BRD-A05715709 ; BRD-K48477130 ; BRD-K92856060 ; BRD-K09587429 ; CBB-1007 ; BRD-K64610608 ; SZ4TA2 ; palmostatin B ; KH-CB19","402"
"958","SNU-C2A","Bowel","Colorectal Adenocarcinoma (COADREAD)",43,"Primary","large intestine","Female","leptomycin B ; SB-743921 ; ouabain ; BI-2536 (CTR) ; CR-1-31B ; panobinostat (FDA) ; GSK461364 ; SR-II-138A ; narciclasine ; cucurbitacin I","BRD-K34099515 ; Repligen 136 ; dexamethasone ; GMX-1778 ; OSI-930 ; daporinad ; BRD-K80183349 ; pifithrin-alpha ; BRD-K37390332 ; necrostatin-7","394"
"959","SNU-C4","Bowel","Colorectal Adenocarcinoma (COADREAD)",35,"Primary","large intestine","Male","dinaciclib ; austocystin D ; ouabain ; CR-1-31B ; brefeldin A ; omacetaxine mepesuccinate (FDA) ; leptomycin B ; SR-II-138A ; alvocidib (CTR) ; vincristine (FDA)","decitabine (FDA) ; alisertib ; barasertib ; SJ-172550 ; ML320 ; Merck60 ; GANT-61 ; semagacestat ; Ki8751 ; NSC 74859","416"
"960","SNU-C5","Bowel","Colorectal Adenocarcinoma (COADREAD)",77,"Primary","Colon","Female","leptomycin B ; ouabain ; CR-1-31B ; SB-743921 ; panobinostat (FDA) ; paclitaxel (FDA) ; narciclasine ; vincristine (FDA) ; BI-2536 (CTR) ; SR-II-138A","BRD-M00053801 ; isonicotinohydroxamic acid ; parthenolide ; VAF-347 ; BRD-K64610608 ; BRD-K09344309 ; BRD9876 ; BRD-A02303741 ; BRD-K51490254 ; temozolomide","408"
"961","Sq-1","Lung","Non-Small Cell Lung Cancer (NSCLC)",NA,"Primary","lung","Male","leptomycin B ; 1S-3R-RSL-3 ; ML210 ; omacetaxine mepesuccinate (FDA) ; CR-1-31B ; panobinostat (FDA) ; ML162 ; birinapant ; narciclasine ; MLN2238","mitomycin (FDA) ; fluorouracil (FDA) ; GDC-0879 ; brivanib ; BIBR-1532 ; JW-480 ; Mdivi-1 ; cytarabine hydrochloride ; AM-580 ; BRD-M00053801","384"
"962","SR-786","Lymph","Non-Hodgkin's Lymphoma (NHL)",11,"Primary","pleural effusion","Male","leptomycin B ; oligomycin A ; BI-2536 (CTR) ; GSK461364 ; vincristine (FDA) ; ouabain ; CR-1-31B ; NVP-TAE684 ; methotrexate (FDA) ; doxorubicin (FDA)","BRD8899 ; BRD-K17060750 ; UNC0321 ; dexamethasone ; darinaparsin ; CI-976 ; BRD-K33199242 ; BRD-K09587429 ; lenvatinib ; BRD9647","389"
"963","ST486","Lymph","Non-Hodgkin's Lymphoma (NHL)",NA,"Metastatic","ascites","Female","leptomycin B ; SB-743921 ; docetaxel (FDA) ; paclitaxel (FDA) ; vincristine (FDA) ; dinaciclib ; panobinostat (FDA) ; BI-2536 (CTR) ; omacetaxine mepesuccinate (FDA) ; ouabain","IC-87114 ; betulinic acid ; procarbazine (FDA) ; BRD8958 ; GDC-0879 ; nilotinib (FDA) ; pitstop2 ; SJ-172550 ; PLX-4720 ; palmostatin B","384"
"964","STM9101","Soft_Tissue",NA,0,"Metastatic","lung","Male",NA,NA,NA
"965","SU-DHL-1","Lymph","Non-Hodgkin's Lymphoma (NHL)",10,"","pleural effusion","Male","leptomycin B ; CR-1-31B ; vincristine (FDA) ; GSK461364 ; gemcitabine (FDA) ; ML210 ; SR-II-138A ; paclitaxel (FDA) ; NVP-TAE684 ; BI-2536 (CTR)","CID-5951923 ; procarbazine (FDA) ; BRD-K24690302 ; myricetin ; sitagliptin ; BRD-K64610608 ; BRD8958 ; BRD9876 ; ML083 ; ML203","400"
"966","SU-DHL-10","Lymph","Non-Hodgkin's Lymphoma (NHL)",25,"Metastatic","pleural effusion","Male","paclitaxel (FDA) ; SB-743921 ; leptomycin B ; GSK461364 ; CR-1-31B ; panobinostat (FDA) ; ouabain ; doxorubicin (FDA) ; SNX-2112 ; clofarabine (FDA)","GSK2636771 ; palmostatin B ; isonicotinohydroxamic acid ; RG-108 ; veliparib (CTR) ; MI-1 ; WAY-362450 ; C6-ceramide ; BRD8899 ; VU0155056","352"
"967","SU-DHL-4","Lymph","Non-Hodgkin's Lymphoma (NHL)",38,"Metastatic","pleural effusion","Male","leptomycin B ; SB-743921 ; paclitaxel (FDA) ; panobinostat (FDA) ; CR-1-31B ; GSK461364 ; doxorubicin (FDA) ; vincristine (FDA) ; oligomycin A ; teniposide (FDA)","nelarabine (FDA) ; isonicotinohydroxamic acid ; BRD-K09344309 ; myricetin ; darinaparsin ; VAF-347 ; BRD-K64610608 ; ifosfamide (FDA) ; MI-1 ; KH-CB19","397"
"968","SU-DHL-5","Lymph","Non-Hodgkin's Lymphoma (NHL)",17,"Primary","lymph node","Female",NA,NA,NA
"969","SU-DHL-6","Lymph","Non-Hodgkin's Lymphoma (NHL)",43,"Metastatic","ascites","Male","GSK461364 ; SB-743921 ; leptomycin B ; dasatinib (FDA) ; panobinostat (FDA) ; paclitaxel (FDA) ; 1S-3R-RSL-3 ; doxorubicin (FDA) ; pluripotin ; AZD7762 (CTR)","BRD9876 ; isonicotinohydroxamic acid ; hyperforin ; nelarabine (FDA) ; CI-976 ; veliparib (CTR) ; CAY10576 ; MI-1 ; nintedanib ; BRD8899","381"
"970","SU-DHL-8","Lymph","Non-Hodgkin's Lymphoma (NHL)",59,"Metastatic","pleural effusion","Male","leptomycin B ; GSK461364 ; vincristine (FDA) ; SB-743921 ; paclitaxel (FDA) ; teniposide (FDA) ; doxorubicin (FDA) ; BI-2536 (CTR) ; clofarabine (FDA) ; panobinostat (FDA)","KH-CB19 ; isonicotinohydroxamic acid ; BRD-K09344309 ; GSK2636771 ; silmitasertib ; EX-527 ; SU11274 ; AC55649 ; nelarabine (FDA) ; AT-406","395"
"971","SU.86.86","Pancreas","Pancreatic Adenocarcinoma (PAAD)",57,"Metastatic","liver","Female","leptomycin B ; methotrexate (FDA) ; CR-1-31B ; panobinostat (FDA) ; narciclasine ; SR-II-138A ; ouabain ; 1S-3R-RSL-3 ; bardoxolone methyl ; AZD7762 (CTR)","ML334 diastereomer ; BRD-K09344309 ; olaparib (FDA) ; NSC19630 ; BRD-K64610608 ; RG-108 ; EX-527 ; Ki8751 ; azacitidine (FDA) ; PI-103","385"
"972","SUIT-2","Pancreas","Pancreatic Adenocarcinoma (PAAD)",73,"Metastatic","liver","Male","neopeltolide ; ouabain ; leptomycin B ; CR-1-31B ; clofarabine (FDA) ; narciclasine ; SR-II-138A ; cucurbitacin I ; panobinostat (FDA) ; doxorubicin (FDA)","ML320 ; itraconazole (CTR) ; STF-31 ; manumycin A ; BRD9647 ; BRD-K48334597 ; BRD-K29086754 ; indisulam ; ciclosporin ; BRD-K14844214","406"
"973","SUP-B15","Blood","Leukemia (LEUK)",9,"Primary","bone marrow","Male","vincristine (FDA) ; SB-743921 ; leptomycin B ; panobinostat (FDA) ; ABT-199 ; doxorubicin (FDA) ; paclitaxel (FDA) ; omacetaxine mepesuccinate (FDA) ; docetaxel (FDA) ; ouabain","procarbazine (FDA) ; betulinic acid ; brivanib ; BRD8958 ; vemurafenib (FDA) ; AGK-2 ; AZD7545 ; BRD-K09587429 ; PLX-4720 ; NSC 74859","403"
"974","SUP-HD1","Lymph","Hodgkin's Lymphoma (HL)",37,"","pleural effusion","Male","leptomycin B ; dinaciclib ; panobinostat (FDA) ; ABT-199 ; SB-743921 ; KPT185 ; paclitaxel (FDA) ; KX2-391 ; docetaxel (FDA) ; PF-3758309","procarbazine (FDA) ; GDC-0879 ; CHIR-99021 ; birinapant ; betulinic acid ; brivanib ; IC-87114 ; ML334 diastereomer ; temozolomide ; BRD-K16147474","415"
"975","SUP-M2","Lymph","Non-Hodgkin's Lymphoma (NHL)",5,"","central nervous system","Female","leptomycin B ; paclitaxel (FDA) ; vincristine (FDA) ; dinaciclib ; docetaxel (FDA) ; PF-3758309 ; CR-1-31B ; methotrexate (FDA) ; NVP-TAE684 ; BI-2536 (CTR)","BRD-K88742110 ; SRT-1720 ; ML334 diastereomer ; nelarabine (FDA) ; GDC-0879 ; linsitinib (CTR) ; IC-87114 ; BRD-K50799972 ; myricetin ; BRD-K37390332","314"
"976","SUP-T1","Blood","Leukemia (LEUK)",8,"Metastatic","pleural effusion","Male","leptomycin B ; 1S-3R-RSL-3 ; cytarabine hydrochloride ; BI-2536 (CTR) ; GSK461364 ; panobinostat (FDA) ; BRD-K02251932 ; clofarabine (FDA) ; gemcitabine (FDA) ; BRD-K14844214","quizartinib (CTR) ; BRD-K64610608 ; AM-580 ; isonicotinohydroxamic acid ; SJ-172550 ; VAF-347 ; BRD-K16147474 ; GDC-0879 ; GANT-61 ; BRD-K09344309","372"
"977","SUP-T11","Lymph","Non-Hodgkin's Lymphoma (NHL)",74,"","bone marrow","Male","AZD8055 (CTR) ; leptomycin B ; paclitaxel (FDA) ; SB-743921 ; GSK461364 ; vincristine (FDA) ; 1S-3R-RSL-3 ; oligomycin A ; doxorubicin (FDA) ; panobinostat (FDA)","isonicotinohydroxamic acid ; BRD-K09344309 ; EX-527 ; daporinad ; CID-5951923 ; BRD-K64610608 ; ML334 diastereomer ; erlotinib (FDA) ; parthenolide ; betulinic acid","392"
"978","SW 1088","Brain_CNS",NA,72,"Primary","central nervous system","Male","leptomycin B ; AZD7762 (CTR) ; paclitaxel (FDA) ; omacetaxine mepesuccinate (FDA) ; dasatinib (FDA) ; AZD8055 (CTR) ; SB-743921 ; vincristine (FDA) ; MLN2238 ; NVP-BEZ235","BRD-K64610608 ; BRD-K09344309 ; BRD8958 ; BRD-K51490254 ; CID-5951923 ; VAF-347 ; tipifarnib-P1 ; zebularine ; temozolomide ; azacitidine (FDA)","409"
"979","SW 1271","Lung","Small Cell Lung Cancer (SCLC)",69,"Primary","lung","Male","obatoclax (CTR) ; 1S-3R-RSL-3 ; leptomycin B ; panobinostat (FDA) ; GSK461364 ; AZD7762 (CTR) ; dasatinib (FDA) ; doxorubicin (FDA) ; topotecan (FDA) ; paclitaxel (FDA)","BRD-K09344309 ; ML334 diastereomer ; BRD-K64610608 ; zebularine ; EX-527 ; BRD-K51490254 ; myricetin ; SB-225002 ; BRD-K88742110 ; RG-108","390"
"980","SW 1353","Bone","Chondrosarcoma (CHS)",72,"Primary","bone","Female","panobinostat (FDA) ; SB-743921 ; 1S-3R-RSL-3 ; doxorubicin (FDA) ; GSK461364 ; CR-1-31B ; ouabain ; BI-2536 (CTR) ; narciclasine ; brefeldin A","dexamethasone ; OSI-930 ; hyperforin ; BMS-270394 ; BRD-K34099515 ; BIRB-796 ; PLX-4720 ; parthenolide ; BRD4132 ; nilotinib (FDA)","407"
"981","SW 1573","Lung","Non-Small Cell Lung Cancer (NSCLC)",44,"Primary","lung","Female","oligomycin A ; 1S-3R-RSL-3 ; BRD-K35604418 ; leptomycin B ; ML210 ; obatoclax (CTR) ; SN-38 ; MLN2238 ; lovastatin ; PI-103","AZD4547 ; pitstop2 ; palmostatin B ; KH-CB19 ; WZ4002 ; Repligen 136 ; PD 153035 ; PX-12 ; tacedinaline ; CAY10594","247"
"982","SW 1783","Brain_CNS","Diffuse Glioma (DIFG)",68,"Primary","central nervous system","Male","PRIMA-1 ; panobinostat (FDA) ; fluvastatin ; cucurbitacin I ; nakiterpiosin ; mitomycin (FDA) ; brefeldin A ; SR-II-138A ; gossypol ; NVP-BEZ235","GSK525762A ; IC-87114 ; Ki8751 ; GW-843682X ; erlotinib (FDA) ; IU1 ; parbendazole ; BRD-K04800985 ; GANT-61 ; brivanib","368"
"983","SW 1990","Pancreas","Pancreatic Adenocarcinoma (PAAD)",56,"Primary","spleen","Male","leptomycin B ; CR-1-31B ; dasatinib (FDA) ; AT13387 (CTR) ; panobinostat (FDA) ; SR-II-138A ; methotrexate (FDA) ; SNX-2112 ; tanespimycin (CTR) ; AZD7762 (CTR)","BRD-K29313308 ; Compound 1541A ; SRT-1720 ; procarbazine (FDA) ; BMS-270394 ; O-6-benzylguanine (CTR) ; ciclosporin ; NPC-26 ; BRD8958 ; etomoxir","418"
"984","SW 780","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA)",80,"Primary","urinary tract","Female",NA,NA,NA
"985","SW 900","Lung","Non-Small Cell Lung Cancer (NSCLC)",53,"Primary","lung","Male",NA,NA,NA
"986","SW-1710","Bladder_Urinary_Tract","Bladder Urothelial Carcinoma (BLCA)",84,"Primary","urinary tract","Female","CIL55 ; BRD-K26531177 ; PRIMA-1-Met ; paclitaxel (FDA) ; dasatinib (FDA) ; SB-743921 ; leptomycin B ; methotrexate (FDA) ; BI-2536 (CTR) ; ML210","BRD-K92856060 ; Repligen 136 ; gossypol ; PDMP ; cabozantinib (FDA) ; 16-beta-bromoandrosterone ; tamoxifen (FDA) ; purmorphamine ; XL765 ; VAF-347","339"
